expo,table,project,sponsors,link,category,special
1,1,ProBase,,http://disrupteu2016.devpost.com/submissions/63749-probase,,
1,2,MarvelOS,"Cisco Spark, Radix, IBM Watson",http://disrupteu2016.devpost.com/submissions/63762-marvelos,,
1,3,IllBeYour.host,"Radix, IBM Watson, Twilio, Amazon Alexa",http://disrupteu2016.devpost.com/submissions/63763-illbeyour-host,,
1,4,Alt-News,"Radix, IBM Watson, Twilio",http://disrupteu2016.devpost.com/submissions/63765-alt-news,,
1,5,Marauders.tech,"PubNub, Radix, IBM Watson",http://disrupteu2016.devpost.com/submissions/63767-marauders-tech,,
1,6,Simpl.press,"Esri, Radix, IBM Watson",http://disrupteu2016.devpost.com/submissions/63781-simpl-press,,
1,7,bbot,,http://disrupteu2016.devpost.com/submissions/63786-bbot,,
1,8,DoshBot,"IBM Watson, Twilio, Amazon Alexa",http://disrupteu2016.devpost.com/submissions/63794-doshbot,,
1,9,HazMap,"PubNub, Radix, Techfugees - Best social good project",http://disrupteu2016.devpost.com/submissions/63811-hazmap,,
1,10,   Spoken.Tech,"Cisco Spark, Radix, IBM Watson",http://disrupteu2016.devpost.com/submissions/63875-spoken-tech,,
1,11,Mekamon Tank Crew,"Reach Robotics, PubNub, Radix",http://disrupteu2016.devpost.com/submissions/63986-mekamon-tank-crew,,
1,12,The Garlic Press,"Radix, IBM Watson",http://disrupteu2016.devpost.com/submissions/64034-the-garlic-press,,
1,13,Alexa Entertainment,Amazon Alexa,http://disrupteu2016.devpost.com/submissions/64037-alexa-entertainment,,
1,14,notim.press/ed,"Esri, Radix, IBM Watson",http://disrupteu2016.devpost.com/submissions/64067-notim-press-ed,,
1,15,RefuTweet,"Esri, Radix, IBM Watson, Twilio",http://disrupteu2016.devpost.com/submissions/64099-refutweet,,
1,16,VoiceRobot,"Reach Robotics, PubNub, Radix, Amazon Alexa",http://disrupteu2016.devpost.com/submissions/64102-voicerobot,,
1,17,TripComing!,"IBM Watson, Amazon Alexa",http://disrupteu2016.devpost.com/submissions/64103-tripcoming,,
1,18,Helpx.press,"Esri, Radix, Twilio, Techfugees - Best social good project",http://disrupteu2016.devpost.com/submissions/64107-helpx-press,,
1,19,EasyDial,"IBM Watson, Twilio, Amazon Alexa",http://disrupteu2016.devpost.com/submissions/64110-easydial,,
1,20,Amplify,Radix,http://disrupteu2016.devpost.com/submissions/64111-amplify,,
1,21,foogee.tech,"Radix, Twilio, Techfugees - Best social good project, Amazon Alexa",http://disrupteu2016.devpost.com/submissions/64112-foogee-tech,,
1,22,Fashion Finder,"PubNub, Radix, Amazon Alexa",http://disrupteu2016.devpost.com/submissions/64114-fashion-finder,,
1,23,nameMe,"Cisco Spark, Radix",http://disrupteu2016.devpost.com/submissions/64115-nameme,,
1,24,Peer Piper,"Radix, Twilio",http://disrupteu2016.devpost.com/submissions/64116-peer-piper,,
1,25,unfuzz,"PubNub, Radix",http://disrupteu2016.devpost.com/submissions/64117-unfuzz,,
1,26,wandered.space,"Esri, Radix",http://disrupteu2016.devpost.com/submissions/64118-wandered-space,,
1,27,Talent.Delivery,IBM Watson,http://disrupteu2016.devpost.com/submissions/64119-talent-delivery,,
1,28,rated.ai,,http://disrupteu2016.devpost.com/submissions/64121-rated-ai,,
1,29,Jooble - Jobs in your messaging bubbles,"Radix, Twilio",http://disrupteu2016.devpost.com/submissions/64122-jooble-jobs-in-your-messaging-bubbles,,
1,30,The Emotion Journal,"Radix, IBM Watson",http://disrupteu2016.devpost.com/submissions/64123-the-emotion-journal,,
1,31,Aeye.space,"Radix, IBM Watson",http://disrupteu2016.devpost.com/submissions/64124-aeye-space,,
1,32,Literal.Press,"Radix, IBM Watson",http://disrupteu2016.devpost.com/submissions/64126-literal-press,,
1,33,hackathon-chat,Cisco Spark,http://disrupteu2016.devpost.com/submissions/64127-hackathon-chat,,
1,34,distress.space,"Radix, Twilio, Techfugees - Best social good project",http://disrupteu2016.devpost.com/submissions/64128-distress-space,,
1,35,VeeCee,"Radix, Techfugees - Best social good project",http://disrupteu2016.devpost.com/submissions/64129-veecee,,
1,36,WIMA ,,http://disrupteu2016.devpost.com/submissions/64131-wima,,
1,37,e-scheduler,Twilio,http://disrupteu2016.devpost.com/submissions/64132-e-scheduler,,
1,38,Marauder Tours,PubNub,http://disrupteu2016.devpost.com/submissions/64133-marauder-tours,,
1,39,Marauder's Map,"Esri, PubNub, Radix, IBM Watson",http://disrupteu2016.devpost.com/submissions/64134-marauder-s-map,,
1,40,Finvestbot,"Radix, IBM Watson, Twilio",http://disrupteu2016.devpost.com/submissions/64135-finvestbot,,
1,41,welcometo.site,"Cisco Spark, Esri, PubNub, Radix",http://disrupteu2016.devpost.com/submissions/64136-welcometo-site,,
1,42,House Grabber,"Esri, Radix",http://disrupteu2016.devpost.com/submissions/64137-house-grabber,,
1,43,Marauder's Battle,"PubNub, Radix",http://disrupteu2016.devpost.com/submissions/64138-marauder-s-battle,,
1,44,Memory Bottle,Radix,http://disrupteu2016.devpost.com/submissions/64139-memory-bottle,,
1,45,The Hotel Host,"Esri, Twilio, Amazon Alexa",http://disrupteu2016.devpost.com/submissions/64140-the-hotel-host,,
1,46,Marauders Magic,"PubNub, Radix",http://disrupteu2016.devpost.com/submissions/64141-marauders-magic,,
1,47,Babel-bot,"Cisco Spark, IBM Watson",http://disrupteu2016.devpost.com/submissions/64142-babel-bot,,
1,48,Eat-The-Parasite,"Esri, PubNub, Radix",http://disrupteu2016.devpost.com/submissions/64143-eat-the-parasite,,
1,49,emojiwars.space,Radix,http://disrupteu2016.devpost.com/submissions/64144-emojiwars-space,,
1,50,Nightingale,IBM Watson,http://disrupteu2016.devpost.com/submissions/64145-nightingale,,
1,51,carpooling.tech,Esri,http://disrupteu2016.devpost.com/submissions/64146-carpooling-tech,,
1,52,Sensei Hub,"Radix, IBM Watson, Techfugees - Best social good project",http://disrupteu2016.devpost.com/submissions/64147-sensei-hub,,
1,53,Eloquentify,IBM Watson,http://disrupteu2016.devpost.com/submissions/64148-eloquentify,,
1,54,Sayfe Space,"PubNub, Radix, IBM Watson",http://disrupteu2016.devpost.com/submissions/64149-sayfe-space,,
1,55,Smap,"Esri, PubNub, Radix, Twilio, Techfugees - Best social good project",http://disrupteu2016.devpost.com/submissions/64150-smap,,
1,56,mybricks.online (feat. Lego car race),"PubNub, Radix",http://disrupteu2016.devpost.com/submissions/64151-mybricks-online-feat-lego-car-race,,
1,57,Barvis Engine,,http://disrupteu2016.devpost.com/submissions/64152-barvis-engine,,
1,58,Monare,PubNub,http://disrupteu2016.devpost.com/submissions/64153-monare,,
1,59,Check Your Press,"Radix, Twilio, Amazon Alexa",http://disrupteu2016.devpost.com/submissions/64154-check-your-press,,
1,60,ResID,"Radix, IBM Watson, Twilio",http://disrupteu2016.devpost.com/submissions/64155-resid,,
1,61,City Voice,Twilio,http://disrupteu2016.devpost.com/submissions/64156-city-voice,,
1,62,MEDISHARE,Techfugees - Best social good project,http://disrupteu2016.devpost.com/submissions/64157-medishare,,
1,63,AlexaPlanner,Amazon Alexa,http://disrupteu2016.devpost.com/submissions/64159-alexaplanner,,
